                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9446,                 2.9919,                 1.7236,                0.58567,                0.29429,                0.28789,                0.15608,                  1.821,                 2.0047,                 1.6065,              0.0033313,              0.0033313,              0.0033313
                      2,                 1.8404,                 2.1536,                 1.5915,                0.31629,                0.28027,                0.26958,                0.13172,                 1.8921,                 2.0938,                 1.6615,              0.0065987,              0.0065987,              0.0065987
                      3,                 1.9093,                 2.2543,                 1.6562,                0.37759,                0.25067,                0.23191,                0.10797,                 1.9313,                 2.1704,                 1.7245,                 0.0098,                 0.0098,                 0.0098
                      4,                 1.9314,                 2.3025,                 1.7034,                0.39975,                0.28213,                0.27214,                0.13347,                 1.8933,                 2.0605,                 1.7064,               0.009703,               0.009703,               0.009703
                      5,                 1.8716,                 2.1842,                 1.6612,                0.45663,                0.30056,                0.30902,                0.16135,                 1.8259,                 1.9728,                 1.6458,               0.009703,               0.009703,               0.009703
                      6,                 1.8241,                 2.0904,                 1.6288,                0.50606,                0.32644,                0.34832,                0.18468,                 1.7597,                 1.8682,                 1.6202,               0.009604,               0.009604,               0.009604
                      7,                 1.7971,                 2.0271,                 1.6097,                0.47633,                0.35537,                 0.3671,                0.19877,                 1.7267,                 1.7834,                 1.6011,               0.009505,               0.009505,               0.009505
                      8,                 1.7654,                  1.973,                 1.5901,                0.48616,                0.37875,                0.39707,                 0.2169,                 1.6787,                 1.7144,                 1.5608,               0.009406,               0.009406,               0.009406
                      9,                 1.7506,                 1.9283,                 1.5724,                0.41614,                0.40855,                0.41417,                0.23025,                 1.6656,                 1.6727,                 1.5289,               0.009307,               0.009307,               0.009307
                     10,                  1.728,                 1.8916,                 1.5612,                0.48498,                0.39301,                0.42447,                0.24073,                 1.6422,                 1.6235,                 1.5176,               0.009208,               0.009208,               0.009208
                     11,                 1.7209,                  1.872,                 1.5516,                0.51456,                0.39013,                0.43934,                0.24704,                 1.6303,                  1.605,                 1.5212,               0.009109,               0.009109,               0.009109
                     12,                 1.7069,                 1.8406,                 1.5468,                0.47679,                0.43526,                0.46014,                0.26207,                 1.6017,                 1.5579,                 1.4875,                0.00901,                0.00901,                0.00901
                     13,                 1.6908,                 1.8109,                 1.5296,                0.46304,                0.45585,                0.46301,                0.26766,                 1.5832,                 1.5183,                 1.4718,               0.008911,               0.008911,               0.008911
                     14,                 1.6862,                 1.7994,                 1.5228,                0.47659,                0.45944,                0.47587,                0.27584,                 1.5704,                 1.4978,                 1.4622,               0.008812,               0.008812,               0.008812
                     15,                 1.6716,                 1.7773,                 1.5109,                0.54155,                0.44541,                0.47513,                0.27748,                  1.558,                 1.4692,                 1.4403,               0.008713,               0.008713,               0.008713
                     16,                 1.6644,                 1.7498,                 1.5082,                0.49066,                0.46816,                0.48879,                0.28646,                  1.547,                  1.445,                 1.4375,               0.008614,               0.008614,               0.008614
                     17,                 1.6606,                 1.7385,                 1.5007,                0.51084,                0.46889,                0.48861,                0.28943,                 1.5363,                 1.4206,                 1.4362,               0.008515,               0.008515,               0.008515
                     18,                 1.6515,                 1.7266,                 1.4972,                0.49779,                0.49215,                0.50791,                0.30124,                 1.5236,                 1.3986,                 1.4237,               0.008416,               0.008416,               0.008416
                     19,                 1.6474,                 1.7095,                 1.4898,                0.58251,                0.49503,                0.51231,                0.30453,                  1.513,                 1.3804,                 1.4118,               0.008317,               0.008317,               0.008317
                     20,                 1.6365,                 1.6934,                 1.4837,                0.53082,                0.49138,                0.52762,                0.31244,                 1.5074,                 1.3601,                 1.4106,               0.008218,               0.008218,               0.008218
                     21,                 1.6357,                 1.6845,                 1.4812,                0.59783,                0.50479,                 0.5241,                0.31558,                 1.4954,                 1.3456,                  1.399,               0.008119,               0.008119,               0.008119
                     22,                 1.6276,                 1.6731,                 1.4741,                0.63785,                0.49371,                0.53243,                0.32067,                 1.4884,                 1.3287,                 1.3922,                0.00802,                0.00802,                0.00802
                     23,                 1.6215,                 1.6547,                 1.4732,                0.59879,                0.51751,                0.53774,                0.32443,                 1.4798,                 1.3155,                 1.3864,               0.007921,               0.007921,               0.007921
                     24,                  1.618,                 1.6498,                 1.4672,                0.61817,                 0.5058,                0.54351,                0.33062,                 1.4725,                 1.2984,                 1.3788,               0.007822,               0.007822,               0.007822
                     25,                 1.6058,                 1.6342,                 1.4584,                0.63552,                0.50374,                0.54642,                0.33237,                 1.4626,                 1.2923,                 1.3725,               0.007723,               0.007723,               0.007723
                     26,                 1.6084,                  1.632,                 1.4573,                0.63887,                 0.5136,                0.54625,                0.33288,                 1.4569,                 1.2807,                 1.3678,               0.007624,               0.007624,               0.007624
                     27,                 1.6035,                 1.6147,                 1.4459,                0.64495,                0.49871,                0.54833,                0.33645,                 1.4514,                 1.2668,                  1.361,               0.007525,               0.007525,               0.007525
                     28,                 1.5949,                 1.6067,                 1.4484,                0.65247,                0.50055,                0.55391,                0.34032,                  1.444,                 1.2585,                 1.3575,               0.007426,               0.007426,               0.007426
                     29,                 1.5956,                 1.6011,                 1.4482,                0.63183,                0.51338,                0.55317,                0.34436,                 1.4386,                 1.2509,                 1.3556,               0.007327,               0.007327,               0.007327
                     30,                 1.5855,                 1.5921,                 1.4382,                0.63395,                0.52559,                0.56293,                0.34987,                 1.4334,                 1.2389,                 1.3484,               0.007228,               0.007228,               0.007228
                     31,                 1.5854,                 1.5785,                 1.4362,                0.60831,                0.54658,                0.56684,                 0.3529,                 1.4294,                 1.2301,                 1.3441,               0.007129,               0.007129,               0.007129
                     32,                  1.582,                   1.57,                 1.4393,                 0.6181,                 0.5428,                0.57184,                  0.356,                 1.4264,                 1.2206,                 1.3424,                0.00703,                0.00703,                0.00703
                     33,                 1.5713,                 1.5672,                 1.4331,                0.62865,                0.54384,                0.57358,                0.35624,                 1.4222,                  1.215,                 1.3401,               0.006931,               0.006931,               0.006931
                     34,                 1.5728,                 1.5484,                 1.4308,                0.63672,                0.54146,                0.57691,                0.35945,                 1.4189,                 1.2083,                 1.3381,               0.006832,               0.006832,               0.006832
                     35,                 1.5634,                 1.5436,                 1.4217,                0.64639,                0.54172,                0.57978,                0.36112,                 1.4152,                  1.202,                  1.335,               0.006733,               0.006733,               0.006733
                     36,                  1.564,                 1.5314,                 1.4201,                0.64479,                0.54425,                0.58034,                0.36249,                 1.4118,                 1.1961,                 1.3319,               0.006634,               0.006634,               0.006634
                     37,                 1.5613,                 1.5279,                 1.4144,                0.64865,                0.54217,                0.58108,                0.36522,                 1.4084,                 1.1903,                 1.3289,               0.006535,               0.006535,               0.006535
                     38,                  1.558,                 1.5257,                 1.4156,                 0.6473,                0.54613,                0.58378,                 0.3671,                 1.4058,                  1.185,                 1.3268,               0.006436,               0.006436,               0.006436
                     39,                 1.5539,                 1.5195,                 1.4121,                0.65541,                0.54301,                0.58597,                0.36851,                 1.4033,                 1.1797,                 1.3244,               0.006337,               0.006337,               0.006337
                     40,                 1.5501,                 1.5143,                 1.4088,                0.64908,                0.54787,                0.58784,                0.37052,                 1.4009,                 1.1747,                 1.3222,               0.006238,               0.006238,               0.006238
                     41,                 1.5479,                    1.5,                 1.4082,                0.65442,                0.54776,                0.58918,                0.37175,                 1.3986,                 1.1705,                 1.3203,               0.006139,               0.006139,               0.006139
                     42,                 1.5456,                 1.4915,                  1.403,                0.65287,                 0.5494,                0.59086,                0.37325,                 1.3966,                 1.1665,                 1.3186,                0.00604,                0.00604,                0.00604
                     43,                 1.5415,                 1.4868,                 1.4069,                0.65618,                0.55087,                0.59286,                0.37466,                 1.3945,                 1.1625,                  1.317,               0.005941,               0.005941,               0.005941
                     44,                 1.5404,                 1.4747,                 1.4001,                0.66079,                0.54922,                0.59339,                0.37542,                 1.3926,                 1.1585,                 1.3154,               0.005842,               0.005842,               0.005842
                     45,                 1.5333,                 1.4725,                 1.3966,                0.66554,                0.54805,                0.59507,                0.37695,                 1.3907,                 1.1546,                 1.3138,               0.005743,               0.005743,               0.005743
                     46,                 1.5285,                   1.47,                 1.3959,                0.66852,                0.54407,                0.59674,                 0.3782,                 1.3892,                 1.1508,                 1.3125,               0.005644,               0.005644,               0.005644
                     47,                 1.5252,                 1.4542,                 1.3877,                0.66687,                 0.5452,                0.59784,                0.37964,                 1.3874,                 1.1468,                 1.3108,               0.005545,               0.005545,               0.005545
                     48,                 1.5225,                 1.4457,                  1.386,                0.66839,                 0.5462,                0.59891,                0.38054,                 1.3854,                 1.1428,                 1.3092,               0.005446,               0.005446,               0.005446
                     49,                 1.5155,                 1.4419,                 1.3826,                0.67166,                0.54924,                0.59992,                0.38162,                 1.3834,                 1.1388,                 1.3076,               0.005347,               0.005347,               0.005347
